n_batch:1480,phase:    train,avg_loss:4.063e-01, avg_error_rate:8.498e+01
n_batch:1485,phase:    train,avg_loss:4.062e-01, avg_error_rate:8.498e+01
n_batch:1490,phase:    train,avg_loss:4.061e-01, avg_error_rate:8.498e+01
n_batch:1495,phase:    train,avg_loss:4.059e-01, avg_error_rate:8.498e+01
n_batch:1500,phase:    train,avg_loss:4.058e-01, avg_error_rate:8.498e+01
n_batch:1505,phase:    train,avg_loss:4.057e-01, avg_error_rate:8.497e+01
n_batch:1510,phase:    train,avg_loss:4.055e-01, avg_error_rate:8.497e+01
n_batch:1515,phase:    train,avg_loss:4.054e-01, avg_error_rate:8.497e+01
n_batch:1520,phase:    train,avg_loss:4.053e-01, avg_error_rate:8.497e+01
n_batch:1525,phase:    train,avg_loss:4.052e-01, avg_error_rate:8.497e+01
n_batch:1530,phase:    train,avg_loss:4.051e-01, avg_error_rate:8.497e+01
